model,mask_rate,MAE,RMSE,MAPE,num_masked
GAT_L1_LR0.0001_GNN200_GRU200_H1_D0.2,10%,21.897007,38.234165,108.487144,191184
GAT_L1_LR0.0001_GNN200_GRU200_H1_D0.2,20%,22.134357,37.25129,114.06468,382392
GAT_L1_LR0.0001_GNN200_GRU200_H1_D0.2,30%,22.481174,36.982967,117.71387,573600
GAT_L1_LR0.0001_GNN200_GRU200_H2_D0.2,10%,24.486065,38.016617,140.47787,191184
GAT_L1_LR0.0001_GNN200_GRU200_H2_D0.2,20%,24.550821,37.89888,140.25482,382392
GAT_L1_LR0.0001_GNN200_GRU200_H2_D0.2,30%,24.66229,37.23582,142.31294,573600
GAT_L1_LR0.0001_GNN200_GRU300_H1_D0.2,10%,22.407455,36.987713,115.619255,191184
GAT_L1_LR0.0001_GNN200_GRU300_H1_D0.2,20%,23.352207,37.098408,120.150444,382392
GAT_L1_LR0.0001_GNN200_GRU300_H1_D0.2,30%,24.163002,37.69731,126.73611,573600
