dataset,target_day,mask_rate,MAE,RMSE,MAPE,num_masked_points
Harbin,5,0.1,3.1057878132242713,12.279333444939498,33.8676915617796,360208
Chengdu,9,0.1,16.59177953869528,47.852802528879266,88.78238636389652,68921
